starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715588953,xotask,xotask,xotask,0,0,0,0,training,positivefb,75,hard,51,1.000331200000801,['c'],1,left,['2'],5,0.7549655000002531,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,1,0,1,1,training,positivefb,66,hard,50,0.9502099000001181,['n'],0,left,['3'],4,0.7901769999998578,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,2,0,2,2,training,positivefb,99,easy,70,0.798854399999982,['c'],1,left,['3'],4,0.34304009999959817,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,3,0,3,3,training,positivefb,97,easy,71,0.699737400000231,['c'],1,left,['2'],5,0.26176070000019536,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,4,0,4,4,training,positivefb,99,easy,6,0.7673150000000533,['n'],1,right,['1'],6,0.6052644000001237,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,5,0,5,5,training,positivefb,90,average,64,0.9001177000000098,['c'],1,left,['3'],4,0.3374151999996684,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,6,0,6,6,training,positivefb,97,hard,54,0.7491133000003174,['c'],1,left,['2'],5,0.34201540000049135,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,7,0,7,7,training,positivefb,82,hard,52,0.6832926999995834,['c'],1,left,['3'],4,0.3334580000000642,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,8,0,8,8,training,positivefb,97,average,19,0.7004074999995282,['n'],1,right,['2'],5,0.4842253000006167,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,9,0,9,9,training,positivefb,91,hard,28,0.8664018999998007,['n'],1,right,['3'],4,0.18193519999931596,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,10,0,10,10,training,positivefb,99,easy,7,0.7005659000005835,['n'],1,right,['2'],5,0.23546489999989717,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,11,0,11,11,training,positivefb,98,hard,50,0.8672964999996111,['n'],0,left,['3'],4,0.3918421999997008,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,12,0,12,12,training,positivefb,96,easy,9,0.5832158000002892,['n'],1,right,['1'],6,0.30505450000055134,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,13,0,13,13,training,positivefb,80,hard,52,1.0167617999995855,['c'],1,left,['3'],4,0.24352449999969394,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,14,0,14,14,training,positivefb,92,hard,29,0.7830254999998942,['n'],1,right,['3'],4,0.5231897999992725,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,15,0,15,15,training,positivefb,93,average,17,0.7171456000005492,['n'],1,right,['2'],5,0.19454790000054345,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,16,0,16,16,training,positivefb,91,hard,26,0.866027899999608,['n'],1,right,['3'],4,0.16774089999944408,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,17,0,17,17,training,positivefb,86,easy,7,0.7824516000000585,['n'],1,right,['1'],6,0.1549619999996139,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,18,0,18,18,training,positivefb,98,easy,72,0.6504273000000467,['c'],1,left,['1'],6,0.2899404999998296,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,19,0,19,19,training,positivefb,98,easy,9,0.6339078999999401,['n'],1,right,['1'],6,0.21424720000050002,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,20,0,20,20,training,positivefb,91,average,16,0.5664855000004536,['n'],1,right,['1'],6,0.23907670000062353,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,21,0,21,21,training,positivefb,97,easy,74,0.8673079999998663,['c'],1,left,['1'],6,0.2995040000005247,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,22,0,22,22,training,positivefb,86,average,60,0.684033499999714,['c'],1,left,['1'],6,0.2923713999998654,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,23,0,23,23,training,positivefb,97,easy,6,0.6002085000000079,['n'],1,right,['1'],6,0.24030300000049465,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,24,0,24,24,training,positivefb,99,hard,29,0.7002170000005208,['n'],1,right,['2'],5,0.39611490000061167,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,25,0,25,25,training,positivefb,98,easy,5,0.5671216000000641,['n'],1,right,['1'],6,0.22191249999923457,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,26,0,26,26,training,positivefb,90,hard,51,0.900055500000235,['c'],1,left,['3'],4,0.20944650000001275,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,27,0,27,27,training,positivefb,96,easy,70,0.7506725000002916,['c'],1,left,['3'],4,0.2512953000004927,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,28,0,28,28,training,positivefb,97,hard,25,0.7007878000003984,['n'],1,right,['3'],4,0.17284969999946043,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,29,0,29,29,training,positivefb,86,easy,73,0.7667515000002822,['c'],1,left,['2'],5,0.2237992000000304,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,30,0,30,30,training,positivefb,84,average,60,1.6009242999998605,['n'],0,left,['3'],4,0.12664440000025934,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,31,0,31,31,training,positivefb,84,hard,51,0.9335116000002017,['c'],1,left,['3'],4,0.22930089999954362,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,32,0,32,32,training,positivefb,97,easy,70,0.7166757000004509,['c'],1,left,['2'],5,0.27178939999976137,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,33,0,33,33,training,positivefb,68,average,61,0.6504285999999411,['c'],1,left,['2'],5,0.2671848999998474,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,34,0,34,34,training,positivefb,81,hard,25,0.8337669000002279,['c'],0,right,['3'],4,0.1829211000003852,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,35,0,35,35,training,positivefb,98,average,17,0.7008672000001752,['n'],1,right,['3'],4,0.4118226999999024,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,36,0,36,36,training,positivefb,93,average,18,0.7996362000003501,['n'],1,right,['3'],4,0.1877606999996715,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,37,0,37,37,training,positivefb,86,hard,50,0.7659610999999131,['c'],1,left,['3'],4,0.21455640000021958,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,38,0,38,38,training,positivefb,98,average,16,0.7330807999996978,['n'],1,right,['3'],4,0.16086660000019037,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,39,0,39,39,training,positivefb,70,hard,26,0.8829478999996354,['n'],1,right,['3'],4,0.22416840000005323,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,40,0,40,40,training,positivefb,96,hard,26,0.699540600000546,['n'],1,right,['3'],4,0.17929060000005848,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,41,0,41,41,training,positivefb,97,easy,70,0.6003846999992675,['c'],1,left,['3'],4,0.28532929999983025,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,42,0,42,42,training,positivefb,93,average,16,0.7332966999993005,['n'],1,right,['3'],4,0.14819209999950544,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,43,0,43,43,training,positivefb,98,average,61,0.9510798999999679,['c'],1,left,['3'],4,0.28082350000022416,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,44,0,44,44,training,positivefb,89,hard,26,0.84968470000058,['n'],1,right,['3'],4,0.14024100000006,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,45,0,45,45,training,positivefb,94,average,62,0.7486885999996957,['c'],1,left,['3'],4,0.18466629999966244,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,46,0,46,46,training,positivefb,66,average,60,0.8333633999991434,['c'],1,left,['3'],4,0.17692640000041138,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,47,0,47,47,training,positivefb,93,easy,71,0.7334208000002036,['c'],1,left,['3'],4,0.18884710000020277,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,48,0,48,48,training,positivefb,87,easy,6,0.749373800000285,['n'],1,right,['2'],5,0.17544490000000224,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,49,0,49,49,training,positivefb,97,easy,5,0.7340297000000646,['n'],1,right,['1'],6,0.21161409999967873,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,50,0,50,50,training,positivefb,86,average,62,0.8174680000001899,['c'],1,left,['3'],4,0.11492420000013226,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,51,0,51,51,training,positivefb,87,hard,27,0.9002344000000448,['n'],1,right,['3'],4,0.16269999999985885,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,52,0,52,52,training,positivefb,96,average,17,0.7485022000000754,['n'],1,right,['2'],5,0.18238620000010997,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,53,0,53,53,training,positivefb,97,average,15,0.6165285999995831,['n'],1,right,['2'],5,0.2702329000003374,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,54,0,54,54,training,positivefb,93,hard,51,0.7845867000005455,['n'],0,left,['3'],4,0.16522830000030808,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,55,0,55,55,training,positivefb,95,average,61,0.8154315000001588,['c'],1,left,['2'],5,0.4065643000003547,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,56,0,56,56,training,positivefb,98,average,61,0.6013475999998263,['c'],1,left,['3'],4,0.2459431000006589,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,57,0,57,57,training,positivefb,91,average,18,0.9162859999996726,['n'],1,right,['3'],4,0.1360170999996626,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,58,0,58,58,training,positivefb,96,easy,73,0.7167016000003059,['c'],1,left,['2'],5,0.1830643000002965,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,59,0,59,59,training,positivefb,97,easy,8,0.6493146000002525,['n'],1,right,['2'],5,0.1810144000000946,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,0,1,60,60,training,positivefb,96,average,17,1.1335447999999815,['n'],1,right,['2'],5,0.18753860000015266,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,1,1,61,61,training,positivefb,79,average,60,1.1652524999999514,['n'],0,left,['3'],4,0.13429499999983818,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,2,1,62,62,training,positivefb,96,average,16,0.5833042000003843,['n'],1,right,['2'],5,0.18544719999954395,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,3,1,63,63,training,positivefb,94,average,63,0.6999814000000697,['c'],1,left,['2'],5,0.19873769999958313,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,4,1,64,64,training,positivefb,94,hard,51,0.6338869999999588,['c'],1,left,['2'],5,0.2058460999996896,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,5,1,65,65,training,positivefb,88,hard,54,0.682494300000144,['c'],1,left,['2'],5,0.18621250000069267,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,6,1,66,66,training,positivefb,97,average,18,0.48341829999935726,['n'],1,right,['2'],5,0.12794550000035088,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,7,1,67,67,training,positivefb,95,easy,8,0.49989629999981844,['n'],1,right,['1'],6,0.2626518999995824,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,8,1,68,68,training,positivefb,77,hard,28,0.7174936999999773,['n'],1,right,['3'],4,0.2407441999994262,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,9,1,69,69,training,positivefb,99,easy,70,0.5152977999996438,['c'],1,left,['2'],5,0.18746110000029148,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,10,1,70,70,training,positivefb,96,easy,70,0.5849226000000272,['c'],1,left,['2'],5,0.17142270000022108,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,11,1,71,71,training,positivefb,99,average,61,0.5829325999993671,['c'],1,left,['2'],5,0.13412640000024112,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,12,1,72,72,training,positivefb,98,hard,27,0.5327896999997392,['n'],1,right,['2'],5,0.15577209999992192,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,13,1,73,73,training,positivefb,94,hard,28,0.550006200000098,['n'],1,right,['2'],5,0.1590035999997781,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,14,1,74,74,training,positivefb,98,average,16,0.6341899999997622,['n'],1,right,['1'],6,0.20045669999944948,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,15,1,75,75,training,positivefb,99,average,16,0.5157909999998083,['n'],1,right,['1'],6,0.19579270000031102,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,16,1,76,76,training,positivefb,94,easy,7,0.5171966999996584,['n'],1,right,['1'],6,0.1680002000002787,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,17,1,77,77,training,positivefb,97,easy,71,0.7003969000006691,['c'],1,left,['2'],5,0.30971019999924465,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,18,1,78,78,training,positivefb,90,easy,71,0.6334914000008212,['c'],1,left,['2'],5,0.18379970000023604,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,19,1,79,79,training,positivefb,93,easy,7,0.5659326000004512,['n'],1,right,['1'],6,0.17805500000031316,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,20,1,80,80,training,positivefb,98,hard,50,0.9334477000002153,['c'],1,left,['3'],4,0.30939980000039213,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,21,1,81,81,training,positivefb,97,average,15,0.6008638000002975,['n'],1,right,['2'],5,0.18533240000033402,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,22,1,82,82,training,positivefb,86,hard,25,0.8163115000006655,['n'],1,right,['3'],4,0.23359259999961068,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,23,1,83,83,training,positivefb,98,easy,8,0.5501974999997401,['n'],1,right,['2'],5,0.23409699999956501,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,24,1,84,84,training,positivefb,94,easy,71,0.6168784999999843,['c'],1,left,['2'],5,0.14417989999947167,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,25,1,85,85,training,positivefb,98,average,61,0.8511779999998907,['c'],1,left,['3'],4,0.12974209999993036,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,26,1,86,86,training,positivefb,81,hard,29,0.682813299999907,['n'],1,right,['3'],4,0.2102586999999403,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,27,1,87,87,training,positivefb,89,average,60,1.4346624999998312,['n'],0,left,['3'],4,0.11991059999945719,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,28,1,88,88,training,positivefb,93,hard,25,0.7839658000002601,['n'],1,right,['3'],4,0.17258419999961916,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,29,1,89,89,training,positivefb,97,hard,54,0.6501224000003276,['c'],1,left,['3'],4,0.17962480000005598,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,30,1,90,90,training,positivefb,90,hard,53,0.6164673000002949,['c'],1,left,['3'],4,0.22900850000041828,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,31,1,91,91,training,positivefb,90,hard,28,0.9171707999994396,['n'],1,right,['3'],4,0.1672753000002558,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,32,1,92,92,training,positivefb,79,easy,8,0.816718399999445,['n'],1,right,['2'],5,0.1286904999997205,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,33,1,93,93,training,positivefb,95,average,16,0.5662328999997044,['n'],1,right,['2'],5,0.18880589999935182,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,34,1,94,94,training,positivefb,93,hard,53,0.832399599999917,['c'],1,left,['2'],5,0.16440390000025218,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,35,1,95,95,training,positivefb,82,average,64,0.9995162999994136,['c'],1,left,['3'],4,0.17463709999992716,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,36,1,96,96,training,positivefb,97,easy,6,0.7333580000004076,['n'],1,right,['2'],5,0.15463030000046274,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,37,1,97,97,training,positivefb,90,hard,50,0.6499289000003046,['c'],1,left,['3'],4,0.1705709999996543,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,38,1,98,98,training,positivefb,95,hard,28,0.7175467999995817,['n'],1,right,['2'],5,0.15889510000033624,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,39,1,99,99,training,positivefb,94,easy,5,0.6000664000002871,['n'],1,right,['2'],5,0.1609721000004356,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,40,1,100,100,training,positivefb,85,average,17,0.5826962999999523,['n'],1,right,['2'],5,0.163926199999878,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,41,1,101,101,training,positivefb,98,average,16,0.5994132000005266,['n'],1,right,['2'],5,0.2137537999997221,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,42,1,102,102,training,positivefb,88,easy,5,0.6006767999997464,['n'],1,right,['1'],6,0.31867609999972046,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,43,1,103,103,training,positivefb,96,easy,73,0.6990083000000595,['c'],1,left,['1'],6,0.20494630000030156,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,44,1,104,104,training,positivefb,98,easy,74,0.6501441000000341,['c'],1,left,['1'],6,0.18812590000015916,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,45,1,105,105,training,positivefb,85,hard,27,0.7493620999994164,['n'],1,right,['3'],4,0.16651490000003832,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,46,1,106,106,training,positivefb,98,easy,7,0.6507501999994929,['n'],1,right,['2'],5,0.14127299999927345,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,47,1,107,107,training,positivefb,97,easy,6,0.5008211999993364,['n'],1,right,['1'],6,0.2365246000008483,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,48,1,108,108,training,positivefb,98,easy,71,0.8671890999994503,['c'],1,left,['3'],4,0.1841738000002806,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,49,1,109,109,training,positivefb,85,average,61,0.6837131000002046,['c'],1,left,['3'],4,0.15817650000008143,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,50,1,110,110,training,positivefb,97,hard,53,0.6674573999998756,['c'],1,left,['3'],4,0.18141220000052272,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,51,1,111,111,training,positivefb,90,average,60,0.6338980999998967,['c'],1,left,['3'],4,0.18135559999973339,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,52,1,112,112,training,positivefb,92,easy,72,0.7325491000001421,['c'],1,left,['2'],5,0.17771970000012516,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,53,1,113,113,training,positivefb,94,average,17,0.833218400000078,['n'],1,right,['3'],4,0.16157560000010562,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,54,1,114,114,training,positivefb,88,hard,53,0.7008781000004092,['n'],0,left,['3'],4,0.1841195000006337,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,55,1,115,115,training,positivefb,85,hard,29,0.5339328000000023,['n'],1,right,['3'],4,0.17873990000043705,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,56,1,116,116,training,positivefb,98,average,64,0.7337889999998879,['c'],1,left,['3'],4,0.10256149999986519,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,57,1,117,117,training,positivefb,91,average,60,0.6993672999997216,['c'],1,left,['3'],4,0.1030200999994122,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,58,1,118,118,training,positivefb,97,easy,73,0.7503283000005467,['c'],1,left,['2'],5,0.1330524000004516,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,59,1,119,119,training,positivefb,92,hard,52,0.7997068000004219,['c'],1,left,['3'],4,0.08728809999956866,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,0,2,120,120,main,positivefb,-99,average,62,0.8504628999999113,['c'],1,left,['2'],5,0.2329982999999629,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,1,2,121,121,main,positivefb,-99,easy,6,0.7506871000005049,['n'],1,right,['2'],5,0.17071360000045388,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,2,2,122,122,main,positivefb,-99,average,19,0.7675183999999717,['n'],1,right,['3'],4,0.3020108999999138,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,3,2,123,123,main,positivefb,-99,average,18,0.5673128000007637,['n'],1,right,['2'],5,0.19560290000026725,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,4,2,124,124,main,positivefb,-99,easy,8,0.5337698000003002,['n'],1,right,['2'],5,0.18383640000047308,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,5,2,125,125,main,positivefb,-99,hard,29,0.533789699999943,['n'],1,right,['2'],5,0.21174749999954656,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,6,2,126,126,main,positivefb,-99,hard,51,0.6182393000008233,['c'],1,left,['3'],4,0.16421530000025086,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,7,2,127,127,main,positivefb,-99,hard,25,0.567495900000722,['n'],1,right,['2'],5,0.15953059999992547,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,8,2,128,128,main,positivefb,-99,easy,5,0.601036899999599,['n'],1,right,['1'],6,0.15405400000054215,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,9,2,129,129,main,positivefb,-99,average,60,0.8173649000000296,['c'],1,left,['2'],5,0.13214419999985694,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,10,2,130,130,main,positivefb,-99,average,63,0.6659300999999687,['c'],1,left,['2'],5,0.14928349999991042,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,11,2,131,131,main,positivefb,-99,easy,71,0.6825492000007216,['c'],1,left,['1'],6,0.1806877999997596,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,12,2,132,132,main,positivefb,-99,easy,5,0.583932200000163,['n'],1,right,['1'],6,0.19196850000025734,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,13,2,133,133,main,positivefb,-99,average,17,0.5163549999997485,['n'],1,right,['2'],5,0.21215240000037738,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,14,2,134,134,main,positivefb,-99,hard,54,0.7008458000000246,['c'],1,left,['1'],6,0.18445560000054684,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,15,2,135,135,main,positivefb,-99,hard,25,0.5174537000002601,['n'],1,right,['2'],5,0.26830620000055205,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,16,2,136,136,main,positivefb,-99,easy,71,0.7166886000004524,['n'],0,left,['1'],6,0.2556163999997807,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,17,2,137,137,main,positivefb,-99,hard,51,0.7834431999999651,['c'],1,left,['2'],5,0.1662003999999797,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,18,2,138,138,main,positivefb,-99,hard,29,0.9676319999998668,['c'],0,right,['3'],4,0.13810649999959423,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,19,2,139,139,main,positivefb,-99,hard,29,0.6343664999994871,['n'],1,right,['3'],4,0.23567860000002838,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,20,2,140,140,main,positivefb,-99,hard,26,0.7671167999997124,['n'],1,right,['2'],5,0.13999630000034813,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,21,2,141,141,main,positivefb,-99,hard,50,0.6336009000006015,['c'],1,left,['2'],5,0.2869525000005524,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,22,2,142,142,main,positivefb,-99,easy,5,0.6840136999999231,['n'],1,right,['1'],6,0.1929559000000154,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,23,2,143,143,main,positivefb,-99,average,19,0.7846615999997084,['n'],1,right,['3'],4,0.1630557000007684,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,24,2,144,144,main,positivefb,-99,hard,50,0.767818399999669,['c'],1,left,['3'],4,0.13513870000042516,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,25,2,145,145,main,positivefb,-99,hard,52,0.6678774000001795,['c'],1,left,['3'],4,0.19162020000021585,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,26,2,146,146,main,positivefb,-99,average,62,0.6333504000003813,['c'],1,left,['2'],5,0.15952309999920544,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,27,2,147,147,main,positivefb,-99,easy,8,0.6512979999997697,['n'],1,right,['2'],5,0.19982099999924685,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,28,2,148,148,main,positivefb,-99,average,60,0.750887999999577,['n'],0,left,['3'],4,0.411388700000316,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,29,2,149,149,main,positivefb,-99,hard,28,0.750064900000325,['n'],1,right,['3'],4,0.4052445000006628,,,,,,,,18,18,Vrouw,Rechts,2,
,xotask,xotask,xotask,30,2,150,150,main,positivefb,-99,easy,71,0.6669738000000507,['c'],1,left,['2'],5,0.1791638000004241,,,,,,,,18,18,Vrouw,Rechts,2,
