withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,sub,age,gender,handedness,
0,0,training,23,57,5.783545899999808,['c'],0,right,['8'],4,2.650249899999835,[-0.15556409],3.0,57,medium,plus,shape,alpha,7,21,M,R,
1,0,training,62,18,1.8168737999985751,['n'],0,left,['9'],5,1.374087000000145,[0.47137287],0.0,62,easy,plus,shape,alpha,7,21,M,R,
2,0,training,31,49,1.3666816999993898,['c'],0,right,['9'],5,0.7760115000000951,[0.12575899],99.0,49,hard,plus,shape,alpha,7,21,M,R,
3,0,training,49,31,2.0006063000000722,['n'],0,left,['3'],3,0.3844232999999804,[-0.10400579],100.0,49,hard,plus,shape,alpha,7,21,M,R,
4,0,training,18,62,0.8836231000004773,['n'],1,right,['0'],6,0.4528037999989465,[-0.15007503],100.0,62,easy,plus,shape,alpha,7,21,M,R,
5,0,training,49,31,0.9160370999998122,['n'],0,left,['3'],3,0.3890255000005709,[-0.11210019],100.0,49,hard,plus,shape,alpha,7,21,M,R,
6,0,training,57,23,1.0175412999997206,['c'],1,left,['0'],6,0.45202210000024934,[0.0780759],98.0,57,medium,plus,shape,alpha,7,21,M,R,
7,0,training,31,49,0.8660376000007091,['n'],1,right,['0'],6,0.15027740000004997,[-0.02745404],93.0,49,hard,plus,shape,alpha,7,21,M,R,
8,0,training,23,57,1.2997851000000082,['c'],0,right,['3'],3,0.4199492999996437,[-0.01487823],30.0,57,medium,plus,shape,alpha,7,21,M,R,
9,0,training,23,57,1.1008563000013964,['n'],1,right,['0'],6,0.2698528000000806,[-0.07491887],99.0,57,medium,plus,shape,alpha,7,21,M,R,
10,0,training,18,62,0.7336664000013116,['n'],1,right,['0'],6,0.15708020000056422,[-0.01028373],72.0,62,easy,plus,shape,alpha,7,21,M,R,
11,0,training,62,18,1.3172462999991694,['c'],1,left,['0'],6,0.15248559999963618,[-0.00952881],29.0,62,easy,plus,shape,alpha,7,21,M,R,
12,0,training,62,18,1.2334178000000975,['c'],1,left,['9'],5,0.4570363000002544,[0.03075585],84.0,62,easy,plus,shape,alpha,7,21,M,R,
13,0,training,57,23,0.7174961000000621,['c'],1,left,['0'],6,0.20933229999900504,[0.16384292],100.0,57,medium,plus,shape,alpha,7,21,M,R,
14,0,training,23,57,1.0498387000006915,['n'],1,right,['0'],6,0.08635659999890777,[-0.07635291],100.0,57,medium,plus,shape,alpha,7,21,M,R,
15,0,training,31,49,0.6336256000013236,['c'],0,right,['0'],6,0.0971296000006987,[-0.02784718],4.0,49,hard,plus,shape,alpha,7,21,M,R,
16,0,training,62,18,0.7010508999992453,['c'],1,left,['0'],6,0.08901150000019697,[0.03496679],99.0,62,easy,plus,shape,alpha,7,21,M,R,
17,0,training,31,49,0.8166254999996454,['c'],0,right,['9'],5,1.0679308000017045,[-0.12577061],1.0,49,hard,plus,shape,alpha,7,21,M,R,
18,0,training,18,62,2.100141099999746,['n'],1,right,['0'],6,0.05221549999987474,[-0.09025721],100.0,62,easy,plus,shape,alpha,7,21,M,R,
19,0,training,18,62,1.8668961000003037,['c'],0,right,['2'],2,0.5750169000002643,[-0.185711],0.0,62,easy,plus,shape,alpha,7,21,M,R,
20,0,training,57,23,1.800590299999385,['n'],0,left,['3'],3,3.2716571999990265,[0.12876256],7.0,57,medium,plus,shape,alpha,7,21,M,R,
21,0,training,18,62,0.983680600000298,['c'],0,right,['8'],4,0.24406639999870094,[-0.06942077],1.0,62,easy,plus,shape,alpha,7,21,M,R,
22,0,training,31,49,0.9832684000011795,['n'],1,right,['0'],6,0.0586118000010174,[-0.0629708],100.0,49,hard,plus,shape,alpha,7,21,M,R,
23,0,training,49,31,0.7337718999988283,['c'],1,left,['0'],6,0.30612099999962084,[-0.01293304],30.0,49,hard,plus,shape,alpha,7,21,M,R,
24,0,training,62,18,0.9833143999985623,['c'],1,left,['2'],2,0.5654781000012008,[0.16205879],100.0,62,easy,plus,shape,alpha,7,21,M,R,
25,0,training,57,23,0.9672754000002897,['c'],1,left,['2'],2,0.4640185999996902,[0.01208724],65.0,57,medium,plus,shape,alpha,7,21,M,R,
26,0,training,23,57,1.0507667000001675,['n'],1,right,['9'],5,0.2990904000016599,[-0.09920208],100.0,57,medium,plus,shape,alpha,7,21,M,R,
27,0,training,57,23,0.9008924999998271,['c'],1,left,['0'],6,0.1305806999989727,[0.00312997],58.0,57,medium,plus,shape,alpha,7,21,M,R,
28,0,training,49,31,1.0002796000007947,['c'],1,left,['8'],4,0.12500349999936589,[0.01962033],88.0,49,hard,plus,shape,alpha,7,21,M,R,
29,0,training,49,31,1.2506433999988076,['c'],1,left,['9'],5,0.8295452000002115,[0.19037899],100.0,49,hard,plus,shape,alpha,7,21,M,R,
30,0,training,31,49,0.8502646999986609,['n'],1,right,['0'],6,0.1134593999995559,[-0.05810813],100.0,49,hard,plus,shape,alpha,7,21,M,R,
31,0,training,57,23,0.90010859999893,['c'],1,left,['0'],6,0.0483844999998837,[0.06835353],100.0,57,medium,plus,shape,alpha,7,21,M,R,
32,0,training,18,62,0.9171917000003305,['n'],1,right,['0'],6,0.06549529999938386,[-0.04327292],100.0,62,easy,plus,shape,alpha,7,21,M,R,
33,0,training,62,18,0.550280899999052,['c'],1,left,['0'],6,0.11147730000084266,[0.09540254],100.0,62,easy,plus,shape,alpha,7,21,M,R,
34,0,training,23,57,0.749247200001264,['n'],1,right,['0'],6,0.004724200000055134,[-0.04741843],100.0,57,medium,plus,shape,alpha,7,21,M,R,
35,0,training,49,31,0.9666964999996708,['c'],1,left,['8'],4,0.27654880000045523,[0.03687551],93.0,49,hard,plus,shape,alpha,7,21,M,R,
0,1,training,18,62,0.8826077000012447,['c'],0,right,['0'],6,0.024251099999673897,[0.02113946],99.0,62,easy,plus,shape,alpha,7,21,M,R,
1,1,training,49,31,0.6164652999996179,['c'],1,left,['9'],5,0.24572710000029474,[0.16295174],100.0,49,hard,plus,shape,alpha,7,21,M,R,
2,1,training,57,23,0.6169946000009077,['c'],1,left,['0'],6,0.09061709999878076,[0.10693637],100.0,57,medium,plus,shape,alpha,7,21,M,R,
3,1,training,62,18,0.6674639000011666,['c'],1,left,['0'],6,0.14772700000139594,[0.08836271],100.0,62,easy,plus,shape,alpha,7,21,M,R,
4,1,training,62,18,0.7497665999999299,['c'],1,left,['0'],6,0.199173899998641,[0.07044767],100.0,62,easy,plus,shape,alpha,7,21,M,R,
5,1,training,57,23,1.3997996000016428,['n'],0,left,['8'],4,0.15889190000052622,[0.01130351],26.0,57,medium,plus,shape,alpha,7,21,M,R,
6,1,training,31,49,0.7838451999996323,['n'],1,right,['0'],6,0.4324023999997735,[-0.06812655],98.0,49,hard,plus,shape,alpha,7,21,M,R,
7,1,training,31,49,0.6999919999998383,['c'],0,right,['1'],1,1.1146421999983431,[-0.0513558],15.0,49,hard,plus,shape,alpha,7,21,M,R,
8,1,training,49,31,0.9504858999989665,['n'],0,left,['0'],6,0.03103240000018559,[-0.05545241],100.0,49,hard,plus,shape,alpha,7,21,M,R,
9,1,training,62,18,0.7498964999995223,['c'],1,left,['2'],2,0.13539009999840346,[0.07093579],100.0,62,easy,plus,shape,alpha,7,21,M,R,
10,1,training,23,57,1.1003646000008303,['n'],1,right,['2'],2,0.2536889000002702,[-0.04440328],96.0,57,medium,plus,shape,alpha,7,21,M,R,
