withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,47,33,2.182999300000006,['n'],0,left,['2'],5,2.889148999999975,[0.11886465],7.0,47,medium,plus,colour,alpha,,,42,19,V,R,
1,0,training,33,47,3.3343830000000025,['c'],0,right,['8'],3,3.1599007999999458,[-0.19760951],2.0,47,medium,plus,colour,alpha,,,42,19,V,R,
2,0,training,44,36,2.2331636999999773,['c'],1,left,['2'],5,1.4943006999999398,[0.13900012],98.0,44,hard,plus,colour,alpha,,,42,19,V,R,
3,0,training,33,47,3.7154299000000037,['c'],0,right,['3'],4,2.141049599999974,[-0.20518586],1.0,47,medium,plus,colour,alpha,,,42,19,V,R,
4,0,training,36,44,1.983676599999967,['c'],0,right,['2'],5,1.7108977000000323,[0.06927697],87.0,44,hard,plus,colour,alpha,,,42,19,V,R,
5,0,training,36,44,1.283874800000035,['n'],1,right,['2'],5,1.1661128999999164,[-0.00364477],53.0,44,hard,plus,colour,alpha,,,42,19,V,R,
6,0,training,44,36,2.7333328999999367,['c'],1,left,['3'],4,1.04947530000004,[-0.00140497],49.0,44,hard,plus,colour,alpha,,,42,19,V,R,
7,0,training,33,47,2.850020400000062,['c'],0,right,['3'],4,0.8847791999999117,[-0.00826205],42.0,47,medium,plus,colour,alpha,,,42,19,V,R,
8,0,training,44,36,2.5834396000000197,['n'],0,left,['9'],2,1.5852872000000389,[0.03473641],27.0,44,hard,plus,colour,alpha,,,42,19,V,R,
9,0,training,36,44,1.3171032999999852,['c'],0,right,['3'],4,1.0284211999999116,[0.03928],80.0,44,hard,plus,colour,alpha,,,42,19,V,R,
10,0,training,53,27,1.1835106999999425,['c'],1,left,['1'],6,0.40290860000004614,[0.07560888],99.0,53,easy,plus,colour,alpha,,,42,19,V,R,
11,0,training,27,53,1.1494771000000128,['n'],1,right,['9'],2,0.41192129999990357,[-0.04340742],92.0,53,easy,plus,colour,alpha,,,42,19,V,R,
12,0,training,27,53,1.200058199999944,['n'],1,right,['0'],1,0.6268385999999282,[-0.20065703],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
13,0,training,27,53,1.1167489000000614,['n'],1,right,['0'],1,0.5329168999999183,[-0.24388446],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
14,0,training,36,44,0.9000048000000334,['n'],1,right,['0'],1,0.45033669999997983,[-0.15644511],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
15,0,training,27,53,0.7664346999999907,['n'],1,right,['0'],1,0.3125840000000153,[-0.18854169],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
16,0,training,53,27,0.6667935000000398,['c'],1,left,['1'],6,0.9208225999999513,[0.18426895],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
17,0,training,44,36,1.5161985000000868,['c'],1,left,['3'],4,0.7825662000000193,[0.12674546],99.0,44,hard,plus,colour,alpha,,,42,19,V,R,
18,0,training,47,33,1.0334325999999692,['c'],1,left,['1'],6,0.3650104000000738,[0.03944841],91.0,47,medium,plus,colour,alpha,,,42,19,V,R,
19,0,training,36,44,0.916549600000053,['c'],0,right,['2'],5,0.4973359000000528,[-0.02097155],26.0,44,hard,plus,colour,alpha,,,42,19,V,R,
20,0,training,36,44,1.6666783999999097,['n'],1,right,['8'],3,1.0904596999999967,[-0.03014189],74.0,44,hard,plus,colour,alpha,,,42,19,V,R,
21,0,training,53,27,1.783191400000078,['c'],1,left,['1'],6,0.6629005999999436,[0.2779419],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
22,0,training,47,33,0.9169014000000288,['c'],1,left,['1'],6,0.44729180000001634,[0.07618344],98.0,47,medium,plus,colour,alpha,,,42,19,V,R,
23,0,training,27,53,0.8668363000000454,['n'],1,right,['9'],2,0.5465821999999889,[-0.19475341],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
24,0,training,53,27,1.1000758000000133,['c'],1,left,['2'],5,2.647913399999993,[0.48287473],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
25,0,training,33,47,0.9336888000000272,['n'],1,right,['2'],5,1.7598841999999877,[-0.34577775],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
26,0,training,47,33,1.233724499999994,['c'],1,left,['2'],5,0.9430270999999948,[0.10706004],98.0,47,medium,plus,colour,alpha,,,42,19,V,R,
27,0,training,33,47,0.9997105999999576,['n'],1,right,['2'],5,1.0328375999999935,[-0.14046149],99.0,47,medium,plus,colour,alpha,,,42,19,V,R,
28,0,training,44,36,0.9169325000000299,['c'],1,left,['1'],6,0.769901300000015,[0.07836032],96.0,44,hard,plus,colour,alpha,,,42,19,V,R,
29,0,training,47,33,1.1499979000000167,['c'],1,left,['1'],6,0.8922284999999874,[0.13835433],99.0,47,medium,plus,colour,alpha,,,42,19,V,R,
30,0,training,53,27,0.9328864999999951,['c'],1,left,['1'],6,0.8266456999999718,[0.37858848],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
31,0,training,44,36,0.6168277000000444,['c'],1,left,['1'],6,0.31227000000001226,[0.02398039],82.0,44,hard,plus,colour,alpha,,,42,19,V,R,
32,0,training,47,33,1.1002495999999837,['c'],1,left,['2'],5,0.7592881000000489,[0.21967263],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
33,0,training,53,27,0.7500559999999723,['c'],1,left,['1'],6,0.33820990000003803,[0.01605918],73.0,53,easy,plus,colour,alpha,,,42,19,V,R,
34,0,training,33,47,1.7834216999999626,['c'],0,right,['3'],4,0.4366728999999623,[-0.1040718],0.0,47,medium,plus,colour,alpha,,,42,19,V,R,
35,0,training,27,53,0.7830516999999872,['n'],1,right,['2'],5,1.8029531999999335,[-0.30027755],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
0,1,training,44,36,1.2832346000000143,['c'],1,left,['1'],6,0.8192645999999968,[0.11430928],99.0,44,hard,plus,colour,alpha,,,42,19,V,R,
1,1,training,53,27,1.2335132999999132,['c'],1,left,['1'],6,0.712260399999991,[0.15272408],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
2,1,training,36,44,0.950299199999904,['n'],1,right,['2'],5,0.8934184999999388,[-0.23561883],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
3,1,training,53,27,1.0337824000000637,['c'],1,left,['1'],6,0.5199155999999903,[0.13779031],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
4,1,training,53,27,0.966683499999931,['c'],1,left,['2'],5,0.48336649999998826,[0.28714256],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
5,1,training,27,53,0.8829853000000867,['n'],1,right,['2'],5,0.40434460000005856,[-0.17859753],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
6,1,training,53,27,0.7337731000000076,['c'],1,left,['1'],6,0.2859502999999677,[0.08527325],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
7,1,training,36,44,1.417703099999926,['n'],1,right,['2'],5,0.4017056999999795,[-0.13457779],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
8,1,training,27,53,0.9504497000000356,['n'],1,right,['1'],6,0.2913502000000108,[-0.18460305],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
9,1,training,27,53,1.0665647000000718,['n'],1,right,['1'],6,0.30833529999995335,[-0.12252562],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
10,1,training,47,33,0.7666030000000319,['c'],1,left,['1'],6,0.43267760000003364,[0.13933226],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
11,1,training,33,47,1.2162830999999414,['n'],1,right,['2'],5,0.3424296000000595,[-0.15860349],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
12,1,training,44,36,1.483488199999897,['c'],1,left,['3'],4,0.5328071999999793,[0.11823423],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
13,1,training,44,36,0.9505659000000151,['c'],1,left,['2'],5,1.3448501999999962,[0.14756744],99.0,44,hard,plus,colour,alpha,,,42,19,V,R,
14,1,training,33,47,0.7497498999999834,['n'],1,right,['1'],6,0.5481185000001005,[-0.17973777],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
15,1,training,44,36,0.6012451999999939,['c'],1,left,['1'],6,0.28578489999995327,[0.16916404],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
16,1,training,33,47,1.8163582000000815,['n'],1,right,['3'],4,0.32140160000005835,[-0.04067845],93.0,47,medium,plus,colour,alpha,,,42,19,V,R,
17,1,training,36,44,0.9170983000000206,['c'],0,right,['8'],3,1.3354688000000579,[0.0129659],60.0,44,hard,plus,colour,alpha,,,42,19,V,R,
18,1,training,33,47,1.1329595999999356,['n'],1,right,['2'],5,0.9395934000000352,[-0.27922978],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
19,1,training,47,33,1.3327529000000595,['c'],1,left,['2'],5,0.2960961999999654,[0.08733159],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
20,1,training,53,27,0.9336333999999624,['c'],1,left,['1'],6,0.2863869999999906,[0.05889642],98.0,53,easy,plus,colour,alpha,,,42,19,V,R,
21,1,training,53,27,0.7337714999999889,['c'],1,left,['1'],6,0.26872229999992214,[0.11716158],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
22,1,training,36,44,1.3500086000000238,['c'],0,right,['3'],4,0.3076763999999912,[0.02731516],85.0,44,hard,plus,colour,alpha,,,42,19,V,R,
23,1,training,47,33,0.8006947999999738,['c'],1,left,['1'],6,0.254820699999982,[0.07810857],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
24,1,training,47,33,0.5834611000000223,['c'],1,left,['2'],5,0.4043419999999287,[0.14411237],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
25,1,training,36,44,1.5831333999999515,['c'],0,right,['2'],5,0.3480180999999902,[0.01499845],71.0,44,hard,plus,colour,alpha,,,42,19,V,R,
26,1,training,27,53,0.9003441999999495,['n'],1,right,['1'],6,0.2578664000000117,[-0.02354045],84.0,53,easy,plus,colour,alpha,,,42,19,V,R,
27,1,training,33,47,0.6826664999999821,['n'],1,right,['1'],6,0.291298500000039,[-0.07645923],99.0,47,medium,plus,colour,alpha,,,42,19,V,R,
28,1,training,27,53,0.5998387000000776,['n'],1,right,['1'],6,0.3109564000000091,[-0.18782171],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
29,1,training,44,36,1.5334579000000303,['n'],0,left,['3'],4,0.8685342999999648,[-0.04547385],85.0,44,hard,plus,colour,alpha,,,42,19,V,R,
30,1,training,36,44,0.8164108999999371,['n'],1,right,['1'],6,0.3284764999999652,[-0.11534717],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
31,1,training,44,36,0.6497439000000895,['c'],1,left,['1'],6,0.16863739999996596,[0.09493956],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
32,1,training,33,47,0.750411999999983,['n'],1,right,['1'],6,0.21954649999997855,[-0.01791265],80.0,47,medium,plus,colour,alpha,,,42,19,V,R,
33,1,training,27,53,0.683515199999988,['n'],1,right,['1'],6,0.27107699999999113,[-0.0677271],99.0,53,easy,plus,colour,alpha,,,42,19,V,R,
34,1,training,47,33,0.6157316000000037,['c'],1,left,['2'],5,0.48311339999997926,[0.10226147],99.0,47,medium,plus,colour,alpha,,,42,19,V,R,
35,1,training,47,33,1.1833934999999656,['c'],1,left,['2'],5,0.2636312000000771,[0.0639683],99.0,47,medium,plus,colour,alpha,,,42,19,V,R,
0,2,training,53,27,0.9335416999999779,['c'],1,left,['1'],6,0.5008895999999368,[0.03008881],82.0,53,easy,plus,colour,alpha,,,42,19,V,R,
1,2,training,33,47,0.8655893999999762,['n'],1,right,['2'],5,0.26195740000002843,[-0.13433575],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
2,2,training,44,36,0.9666655999999421,['c'],1,left,['1'],6,0.2843125000000555,[0.08586033],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
3,2,training,53,27,0.9166233999999349,['c'],1,left,['1'],6,0.25991149999993013,[0.12657722],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
4,2,training,53,27,0.7164778999999726,['c'],1,left,['1'],6,0.2602633000000196,[0.22166883],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
5,2,training,27,53,0.7332662999999684,['n'],1,right,['1'],6,0.22749550000003183,[-0.07592835],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
6,2,training,27,53,0.7340209000000186,['n'],1,right,['1'],6,0.18067500000006476,[-0.06297623],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
7,2,training,36,44,1.1664667000000009,['n'],1,right,['2'],5,0.2784882999999354,[0.01968015],21.0,44,hard,plus,colour,alpha,,,42,19,V,R,
8,2,training,44,36,1.482933800000069,['c'],1,left,['3'],4,0.359224900000072,[0.04938024],95.0,44,hard,plus,colour,alpha,,,42,19,V,R,
9,2,training,33,47,0.683404899999914,['n'],1,right,['2'],5,0.5490942000000132,[-0.10416629],99.0,47,medium,plus,colour,alpha,,,42,19,V,R,
10,2,training,36,44,0.7000632000000451,['n'],1,right,['2'],5,0.28277030000003833,[0.01310251],29.0,44,hard,plus,colour,alpha,,,42,19,V,R,
11,2,training,47,33,1.0173121000000265,['c'],1,left,['1'],6,0.7504556000000093,[0.08744268],97.0,47,medium,plus,colour,alpha,,,42,19,V,R,
12,2,training,27,53,1.0172544000000698,['n'],1,right,['1'],6,0.4147602000000461,[-0.07559948],99.0,53,easy,plus,colour,alpha,,,42,19,V,R,
13,2,training,27,53,0.6177351999999701,['n'],1,right,['1'],6,0.1887739999999667,[-0.06307148],99.0,53,easy,plus,colour,alpha,,,42,19,V,R,
14,2,training,44,36,0.783553799999936,['c'],1,left,['2'],5,0.8773793999999953,[0.1717655],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
15,2,training,36,44,1.0667141000000129,['n'],1,right,['2'],5,0.23112719999994624,[-0.02500369],87.0,44,hard,plus,colour,alpha,,,42,19,V,R,
16,2,training,27,53,0.6664740999999594,['n'],1,right,['1'],6,0.1706239000000096,[-0.05964398],99.0,53,easy,plus,colour,alpha,,,42,19,V,R,
17,2,training,36,44,0.700471900000025,['n'],1,right,['1'],6,0.14297429999999167,[-0.02022735],87.0,44,hard,plus,colour,alpha,,,42,19,V,R,
18,2,training,47,33,0.8002058999999235,['c'],1,left,['1'],6,0.19269790000009834,[0.00461837],59.0,47,medium,plus,colour,alpha,,,42,19,V,R,
19,2,training,47,33,0.7503004000000146,['c'],1,left,['2'],5,0.3061864000000014,[0.04715954],96.0,47,medium,plus,colour,alpha,,,42,19,V,R,
20,2,training,33,47,0.6994273999999905,['n'],1,right,['1'],6,0.19310810000001766,[-0.16797476],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
21,2,training,47,33,0.767087599999968,['c'],1,left,['1'],6,0.17819409999992786,[0.08888199],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
22,2,training,44,36,1.4989619000000403,['c'],1,left,['3'],4,0.3264736000000994,[0.02090282],79.0,44,hard,plus,colour,alpha,,,42,19,V,R,
23,2,training,33,47,2.4834574000000202,['n'],1,right,['8'],3,1.0535973999999442,[-0.2751819],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
24,2,training,44,36,0.6670219000000088,['n'],0,left,['0'],1,1.455980199999999,[0.08393844],8.0,44,hard,plus,colour,alpha,,,42,19,V,R,
25,2,training,47,33,1.0172201000000314,['c'],1,left,['2'],5,0.7404354999999896,[0.3018789],100.0,47,medium,plus,colour,alpha,,,42,19,V,R,
26,2,training,53,27,0.8003042000000278,['c'],1,left,['1'],6,0.15793029999997543,[0.07523015],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
27,2,training,36,44,0.9004569999999603,['n'],1,right,['2'],5,0.059257000000002336,[-0.05226978],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
28,2,training,33,47,1.6834723999999142,['n'],1,right,['2'],5,0.2529590999999982,[-0.00622531],61.0,47,medium,plus,colour,alpha,,,42,19,V,R,
29,2,training,27,53,0.8331090000000358,['n'],1,right,['1'],6,0.08935229999997318,[-0.04707133],100.0,53,easy,plus,colour,alpha,,,42,19,V,R,
30,2,training,33,47,2.0827100999999857,['n'],1,right,['1'],6,0.2654359000000568,[-0.06659245],99.0,47,medium,plus,colour,alpha,,,42,19,V,R,
31,2,training,47,33,0.7172463000000562,['c'],1,left,['2'],5,0.2020217000000457,[0.02576453],89.0,47,medium,plus,colour,alpha,,,42,19,V,R,
32,2,training,36,44,2.9847698999999466,['c'],0,right,['2'],5,0.1302230999999665,[0.03854884],98.0,44,hard,plus,colour,alpha,,,42,19,V,R,
33,2,training,53,27,0.616986599999791,['c'],1,left,['1'],6,0.22003930000005312,[0.06102528],99.0,53,easy,plus,colour,alpha,,,42,19,V,R,
34,2,training,44,36,0.7329354999999396,['c'],1,left,['1'],6,0.2049254999999448,[0.10148712],100.0,44,hard,plus,colour,alpha,,,42,19,V,R,
35,2,training,53,27,1.9996796999998878,['c'],1,left,['2'],5,0.5079110000001492,[0.08983638],99.0,53,easy,plus,colour,alpha,,,42,19,V,R,
0,3,main,53,27,3.1826648000001114,['c'],1,left,['2'],5,2.3206614999999147,-99,-99,53,easy,plus,colour,alpha,,,42,19,V,R,
1,3,main,53,27,1.0672885000001315,['c'],1,left,['2'],5,0.20209460000000945,-99,-99,53,easy,plus,colour,alpha,,,42,19,V,R,
2,3,main,36,44,0.7003366999999798,['n'],1,right,['2'],5,0.5019974000001639,-99,-99,44,hard,plus,colour,alpha,,,42,19,V,R,
3,3,main,44,36,0.8502296999999999,['c'],1,left,['3'],4,0.06404019999990851,-99,-99,44,hard,plus,colour,alpha,,,42,19,V,R,
4,3,main,44,36,2.5829444000000876,['n'],0,left,['8'],3,1.5745528000002196,-99,-99,44,hard,plus,colour,alpha,,,42,19,V,R,
5,3,main,33,47,3.0176476999999977,['n'],1,right,['2'],5,0.7515511000001425,-99,-99,47,medium,plus,colour,alpha,,,42,19,V,R,
6,3,main,44,36,0.7840347999999722,['c'],1,left,['2'],5,0.14659169999981714,-99,-99,44,hard,plus,colour,alpha,,,42,19,V,R,
